raw_name,file_type,prefix_1,prefix_2,prefix_3,scan_start_time [TAI 93],scan_end_time [TAI 93],duration [sec],scan_start_HHMM,scan_start_HHMMSS,area_wkt,tif_name
VJ103DNB.A2025001.1700.021.2025001222750.nc,3,A2025001,1700,21,1009904410.216125,1009904769.88411,359.6679849624634,16:59,16:59:23,"POLYGON ((152.9816131591797 31.346763610839844, 113.56964874267578 38.52149963378906, 113.23725891113281 59.209415435791016, 168.4004364013672 48.64155578613281, 152.9816131591797 31.346763610839844))",A2025001_1700_021.tif
VJ103DNB.A2025001.1706.021.2025001220928.nc,3,A2025001,1706,21,1009904771.106915,1009905128.988321,357.8814059495926,17:05,17:05:24,"POLYGON ((144.52804565429688 12.245715141296387, 111.06027221679688 17.850290298461914, 113.56719970703125 38.5235595703125, 153.01190185546875 31.410165786743164, 144.52804565429688 12.245715141296387))",A2025001_1706_021.tif
VJ103DNB.A2025001.1842.021.2025001234610.nc,3,A2025001,1842,21,1009910531.066474,1009910888.947854,357.88138008117676,18:41,18:41:24,"POLYGON ((126.73818969726562 29.846433639526367, 88.16902160644531 36.84474563598633, 88.07300567626953 57.44624328613281, 141.27491760253906 47.300331115722656, 126.73818969726562 29.846433639526367))",A2025001_1842_021.tif
VJ103DNB.A2025001.1848.021.2025001234611.nc,3,A2025001,1848,21,1009910890.170658,1009911249.838627,359.6679689884186,18:47,18:47:23,"POLYGON ((118.61723327636719 10.555826187133789, 85.38922119140625 16.074356079101562, 88.1690444946289 36.84634017944336, 126.77114868164062 29.90927505493164, 118.61723327636719 10.555826187133789))",A2025001_1848_021.tif
VJ103DNB.A2025002.1642.021.2025002214123.nc,3,A2025002,1642,21,1009989730.509156,1009990090.177157,359.66800105571747,16:41,16:41:23,"POLYGON ((155.95773315429688 28.185531616210938, 118.00281524658203 35.00493621826172, 118.44434356689453 55.72677993774414, 169.7790069580078 45.963802337646484, 155.95773315429688 28.185531616210938))",A2025002_1642_021.tif
VJ103DNB.A2025002.1648.021.2025002214122.nc,3,A2025002,1648,21,1009990091.399943,1009990449.281361,357.88141798973083,16:47,16:47:24,"POLYGON ((148.24037170410156 8.898772239685059, 115.22628784179688 14.338624954223633, 117.99515533447266 35.00712585449219, 155.97506713867188 28.253070831298828, 148.24037170410156 8.898772239685059))",A2025002_1648_021.tif
VJ103DNB.A2025002.1824.021.2025003001917.nc,3,A2025002,1824,21,1009995851.359443,1009996209.240845,357.88140201568604,18:23,18:23:24,"POLYGON ((129.793701171875 26.663408279418945, 92.61070251464844 33.32563781738281, 93.14025115966797 53.95695877075195, 142.8371124267578 44.5641975402832, 129.793701171875 26.663408279418945))",A2025002_1824_021.tif
VJ103DNB.A2025002.1830.021.2025003001918.nc,3,A2025002,1830,21,1009996210.46363,1009996570.131618,359.6679880619049,18:29,18:29:23,"POLYGON ((122.37408447265625 7.1997551918029785, 89.53190612792969 12.564881324768066, 92.60603332519531 33.327083587646484, 129.81393432617188 26.730308532714844, 122.37408447265625 7.1997551918029785))",A2025002_1830_021.tif
VJ103DNB.A2025003.1624.021.2025003220954.nc,3,A2025003,1624,21,1010075050.803475,1010075410.471479,359.6680040359497,16:23,16:23:23,"POLYGON ((159.093017578125 24.97779083251953, 122.40850830078125 31.483407974243164, 123.39044189453125 52.22770309448242, 171.53565979003906 43.158836364746094, 159.093017578125 24.97779083251953))",A2025003_1624_021.tif
VJ103DNB.A2025003.1630.021.2025003220951.nc,3,A2025003,1630,21,1010075411.694264,1010075769.575662,357.8813979625702,16:29,16:29:24,"POLYGON ((152.03053283691406 5.53259801864624, 119.34204864501953 10.828146934509277, 122.40044403076172 31.485553741455078, 159.10775756835938 25.045686721801758, 152.03053283691406 5.53259801864624))",A2025003_1630_021.tif
VJ103DNB.A2025003.1806.021.2025003235151.nc,3,A2025003,1806,21,1010081171.653781,1010081529.53518,357.8813989162445,18:05,18:05:24,"POLYGON ((132.9998016357422 23.437063217163086, 96.9914321899414 29.802289962768555, 98.11013793945312 50.4582405090332, 144.77035522460938 41.70291519165039, 132.9998016357422 23.437063217163086))",A2025003_1806_021.tif
VJ103DNB.A2025004.1606.021.2025004214033.nc,3,A2025004,1606,21,1010160371.097211,1010160728.978616,357.8814049959183,16:05,16:05:24,"POLYGON ((162.40538024902344 21.829435348510742, 126.76929473876953 28.064102172851562, 128.19740295410156 48.721832275390625, 173.6117401123047 40.25545120239258, 162.40538024902344 21.829435348510742))",A2025004_1606_021.tif
VJ103DNB.A2025004.1742.021.2025004214129.nc,3,A2025004,1742,21,1010166131.056817,1010166488.938199,357.8813819885254,17:41,17:41:24,"POLYGON ((147.01901245117188 38.782772064208984, 102.85197448730469 47.04901885986328, 99.83709716796875 67.5037841796875, 167.19515991210938 54.43616485595703, 147.01901245117188 38.782772064208984))",A2025004_1742_021.tif
VJ103DNB.A2025004.1748.021.2025004214128.nc,3,A2025004,1748,21,1010166490.160982,1010166849.828971,359.6679890155792,17:47,17:47:23,"POLYGON ((136.33309936523438 20.177751541137695, 101.21572875976562 26.283016204833984, 102.84795379638672 47.05167007446289, 147.0557098388672 38.84609603881836, 136.33309936523438 20.177751541137695))",A2025004_1748_021.tif
